latitude,longitude,temperature_celsius,condition_text,wind_mph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,visibility_miles,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_phase,moon_illumination
22.3,73.2,29.9,1.0,11.2,239,15.0,1008.0,29.77,0.0,0.0,52,72,31.5,6.0,6.0,13.9,210.3,37.9,2.0,2.3,9.6,16.9,1,1,5.0,93
26.58,80.75,31.0,9.0,9.4,290,14.0,1004.0,29.65,0.0,0.0,66,75,34.8,3.0,8.0,10.7,317.1,88.0,2.7,4.8,30.1,39.5,2,3,5.0,93
22.7,71.68,31.5,22.0,12.5,245,15.0,1007.0,29.74,0.0,0.0,44,24,32.9,6.0,8.0,14.3,195.3,35.8,0.9,1.2,9.7,15.8,1,1,5.0,93
22.57,72.93,30.3,16.0,10.3,236,15.0,1008.0,29.77,0.0,0.0,52,39,32.3,6.0,8.0,11.9,203.6,34.7,1.7,1.7,10.1,18.5,1,1,5.0,93
21.62,71.23,30.2,16.0,13.9,244,15.0,1008.0,29.76,0.0,0.0,50,36,31.8,6.0,8.0,15.9,188.6,32.9,1.2,1.6,13.0,20.8,1,2,5.0,93
22.83,74.27,27.3,1.0,13.0,249,15.0,1009.0,29.8,0.0,0.0,63,68,29.1,6.0,6.0,15.0,217.0,31.1,2.4,2.6,8.9,12.5,1,1,5.0,93
22.3,70.78,29.0,16.0,9.4,270,13.0,1008.0,29.77,0.0,0.0,75,75,29.9,3.0,8.0,17.4,183.6,33.6,0.6,0.7,13.9,27.3,1,2,5.0,93
23.6,72.4,29.6,1.0,10.5,240,15.0,1007.0,29.75,0.0,0.0,54,66,31.4,6.0,6.0,12.1,208.6,31.8,2.5,2.3,10.0,16.6,1,1,5.0,93
23.83,72.12,28.0,1.0,12.3,233,12.0,1007.0,29.75,0.0,0.0,61,85,29.9,6.0,6.0,15.4,190.3,31.8,1.9,2.8,16.1,27.2,2,2,5.0,93
21.7,72.97,29.7,16.0,10.3,242,15.0,1009.0,29.78,0.0,0.0,56,46,31.9,6.0,7.0,11.9,186.9,37.6,0.7,0.7,9.3,17.4,1,1,5.0,93
